era,set_name,abbreviation,group_id,productId,name,cleanName,number,rarity,cardType,hp,stage,subTypeName,marketPrice,lowPrice,midPrice,pokebulb_price
Mega Evolution,ME04: Chaos Rising,CRI,24655,693528,Octillery,Octillery,017/086,Common,Water,,,Normal,,0.5,0.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693528,Octillery,Octillery,017/086,Common,Water,,,Reverse Holofoil,,0.75,0.75,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693472,Delibird,Delibird,018/086,Uncommon,Water,,,Normal,,0.74,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693472,Delibird,Delibird,018/086,Uncommon,Water,,,Reverse Holofoil,,0.87,1.12,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693503,Keldeo,Keldeo,019/086,Rare,Water,,,Holofoil,1.49,1.49,1.74,2.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693503,Keldeo,Keldeo,019/086,Rare,Water,,,Reverse Holofoil,,2.49,2.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693488,Froakie - 020/086,Froakie 020 086,020/086,Common,Water,,,Normal,0.99,0.99,0.99,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693488,Froakie - 020/086,Froakie 020 086,020/086,Common,Water,,,Reverse Holofoil,1.99,1.99,1.99,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693490,Frogadier - 021/086,Frogadier 021 086,021/086,Common,Water,,,Normal,1.49,1.49,1.49,2.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693490,Frogadier - 021/086,Frogadier 021 086,021/086,Common,Water,,,Reverse Holofoil,2.5,2.5,2.5,3.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693515,Mega Greninja ex - 022/086,Mega Greninja ex 022 086,022/086,Double Rare,Water,,,Holofoil,11.87,8.0,9.99,13.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693456,Bergmite,Bergmite,023/086,Common,Water,,,Normal,0.49,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693456,Bergmite,Bergmite,023/086,Common,Water,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693448,Avalugg,Avalugg,024/086,Uncommon,Water,,,Normal,,0.74,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693448,Avalugg,Avalugg,024/086,Uncommon,Water,,,Reverse Holofoil,,0.5,1.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693562,Wimpod,Wimpod,025/086,Common,Water,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693562,Wimpod,Wimpod,025/086,Common,Water,,,Reverse Holofoil,,0.5,0.87,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693494,Golisopod,Golisopod,026/086,Uncommon,Water,,,Normal,,0.75,0.75,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693494,Golisopod,Golisopod,026/086,Uncommon,Water,,,Reverse Holofoil,,0.5,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693507,Mareep,Mareep,027/086,Common,Lightning,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693507,Mareep,Mareep,027/086,Common,Lightning,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693487,Flaaffy,Flaaffy,028/086,Common,Lightning,,,Normal,0.5,0.5,0.5,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693487,Flaaffy,Flaaffy,028/086,Common,Lightning,,,Reverse Holofoil,0.74,0.5,0.74,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693445,Ampharos - 029/086,Ampharos 029 086,029/086,Rare,Lightning,,,Holofoil,2.0,0.74,0.99,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693445,Ampharos - 029/086,Ampharos 029 086,029/086,Rare,Lightning,,,Reverse Holofoil,3.0,2.0,2.0,3.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693481,Emolga,Emolga,030/086,Common,Lightning,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693481,Emolga,Emolga,030/086,Common,Lightning,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693474,Deoxys - 031/086,Deoxys 031 086,031/086,Uncommon,Psychic,,,Normal,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693474,Deoxys - 031/086,Deoxys 031 086,031/086,Uncommon,Psychic,,,Reverse Holofoil,2.0,1.5,1.63,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693475,Deoxys - 032/086,Deoxys 032 086,032/086,Uncommon,Psychic,,,Normal,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693475,Deoxys - 032/086,Deoxys 032 086,032/086,Uncommon,Psychic,,,Reverse Holofoil,1.99,1.5,1.75,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693476,Deoxys - 033/086,Deoxys 033 086,033/086,Uncommon,Psychic,,,Normal,,1.0,1.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693476,Deoxys - 033/086,Deoxys 033 086,033/086,Uncommon,Psychic,,,Reverse Holofoil,2.0,1.5,1.5,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693477,Deoxys - 034/086,Deoxys 034 086,034/086,Uncommon,Psychic,,,Normal,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693477,Deoxys - 034/086,Deoxys 034 086,034/086,Uncommon,Psychic,,,Reverse Holofoil,1.99,1.5,1.87,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693511,Mega Floette ex - 035/086,Mega Floette ex 035 086,035/086,Double Rare,Psychic,,,Holofoil,6.92,3.67,5.0,8.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693483,Espurr,Espurr,036/086,Common,Psychic,,,Normal,0.5,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693483,Espurr,Espurr,036/086,Common,Psychic,,,Reverse Holofoil,1.0,0.5,0.87,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693521,Meowstic,Meowstic,037/086,Uncommon,Psychic,,,Normal,0.75,0.74,0.74,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693521,Meowstic,Meowstic,037/086,Uncommon,Psychic,,,Reverse Holofoil,1.5,0.99,0.99,2.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693531,Phantump,Phantump,038/086,Common,Psychic,,,Normal,0.5,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693531,Phantump,Phantump,038/086,Common,Psychic,,,Reverse Holofoil,1.0,0.74,0.87,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693556,Trevenant,Trevenant,039/086,Rare,Psychic,,,Holofoil,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693556,Trevenant,Trevenant,039/086,Rare,Psychic,,,Reverse Holofoil,,1.5,1.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693536,Pumpkaboo,Pumpkaboo,040/086,Common,Psychic,,,Normal,0.5,0.4,0.45,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693536,Pumpkaboo,Pumpkaboo,040/086,Common,Psychic,,,Reverse Holofoil,1.0,0.74,1.0,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693497,Gourgeist ex - 041/086,Gourgeist ex 041 086,041/086,Double Rare,Psychic,,,Holofoil,,1.96,2.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693563,Xerneas - 042/086,Xerneas 042 086,042/086,Rare,Psychic,,,Holofoil,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693563,Xerneas - 042/086,Xerneas 042 086,042/086,Rare,Psychic,,,Reverse Holofoil,,1.99,1.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693550,Sudowoodo,Sudowoodo,043/086,Uncommon,Fighting,,,Normal,,0.74,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693550,Sudowoodo,Sudowoodo,043/086,Uncommon,Fighting,,,Reverse Holofoil,,0.5,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693530,Phanpy,Phanpy,044/086,Common,Fighting,,,Normal,,0.5,0.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693530,Phanpy,Phanpy,044/086,Common,Fighting,,,Reverse Holofoil,,0.5,0.87,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693478,Donphan,Donphan,045/086,Common,Fighting,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693478,Donphan,Donphan,045/086,Common,Fighting,,,Reverse Holofoil,,0.5,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693452,Baltoy,Baltoy,046/086,Common,Fighting,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693452,Baltoy,Baltoy,046/086,Common,Fighting,,,Reverse Holofoil,,0.5,0.87,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693466,Claydol - 047/086,Claydol 047 086,047/086,Uncommon,Fighting,,,Normal,,0.74,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693466,Claydol - 047/086,Claydol 047 086,047/086,Uncommon,Fighting,,,Reverse Holofoil,,0.5,1.12,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693514,Mega Gallade ex,Mega Gallade ex,048/086,Double Rare,Fighting,,,Holofoil,8.0,2.97,6.0,9.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693565,Zubat,Zubat,049/086,Common,Darkness,,,Normal,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693565,Zubat,Zubat,049/086,Common,Darkness,,,Reverse Holofoil,0.5,1.24,1.62,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693493,Golbat,Golbat,050/086,Common,Darkness,,,Normal,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693493,Golbat,Golbat,050/086,Common,Darkness,,,Reverse Holofoil,0.5,0.5,1.24,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693470,Crobat - 051/086,Crobat 051 086,051/086,Rare,Darkness,,,Holofoil,3.0,2.0,2.0,3.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693470,Crobat - 051/086,Crobat 051 086,051/086,Rare,Darkness,,,Reverse Holofoil,,4.0,4.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693538,Qwilfish,Qwilfish,052/086,Common,Darkness,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693538,Qwilfish,Qwilfish,052/086,Common,Darkness,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693549,Stunky,Stunky,053/086,Common,Darkness,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693549,Stunky,Stunky,053/086,Common,Darkness,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693544,Skuntank,Skuntank,054/086,Uncommon,Darkness,,,Normal,,0.74,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693544,Skuntank,Skuntank,054/086,Uncommon,Darkness,,,Reverse Holofoil,,0.5,1.24,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693504,Krookodile ex,Krookodile ex,055/086,Double Rare,Darkness,,,Holofoil,,2.98,6.98,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693557,Trubbish,Trubbish,056/086,Common,Darkness,,,Normal,,0.3,0.4,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693557,Trubbish,Trubbish,056/086,Common,Darkness,,,Reverse Holofoil,,0.5,0.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693492,Garbodor,Garbodor,057/086,Uncommon,Darkness,,,Normal,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693492,Garbodor,Garbodor,057/086,Uncommon,Darkness,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693543,Skrelp,Skrelp,058/086,Common,Darkness,,,Normal,0.49,0.49,0.49,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693543,Skrelp,Skrelp,058/086,Common,Darkness,,,Reverse Holofoil,1.0,0.74,1.0,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693455,Beldum,Beldum,059/086,Common,Metal,,,Normal,,0.5,0.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693455,Beldum,Beldum,059/086,Common,Metal,,,Reverse Holofoil,,0.5,0.87,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693523,Metang - 060/086,Metang 060 086,060/086,Common,Metal,,,Normal,,0.47,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693523,Metang - 060/086,Metang 060 086,060/086,Common,Metal,,,Reverse Holofoil,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693522,Metagross,Metagross,061/086,Uncommon,Metal,,,Normal,2.99,2.99,3.0,3.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693522,Metagross,Metagross,061/086,Uncommon,Metal,,,Reverse Holofoil,4.0,4.0,4.0,4.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693485,Ferroseed,Ferroseed,062/086,Common,Metal,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693485,Ferroseed,Ferroseed,062/086,Common,Metal,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693486,Ferrothorn,Ferrothorn,063/086,Uncommon,Metal,,,Normal,,0.74,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693486,Ferrothorn,Ferrothorn,063/086,Uncommon,Metal,,,Reverse Holofoil,,0.5,0.75,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693468,Cobalion ex - 064/086,Cobalion ex 064 086,064/086,Double Rare,Metal,,,Holofoil,,2.97,5.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693508,Mega Dragalge ex - 065/086,Mega Dragalge ex 065 086,065/086,Double Rare,Dragon,,,Holofoil,9.13,6.96,8.59,10.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693496,Goomy,Goomy,066/086,Common,Dragon,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693496,Goomy,Goomy,066/086,Common,Dragon,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693545,Sliggoo - 067/086,Sliggoo 067 086,067/086,Common,Dragon,,,Normal,,0.49,0.49,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693545,Sliggoo - 067/086,Sliggoo 067 086,067/086,Common,Dragon,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693495,Goodra,Goodra,068/086,Rare,Dragon,,,Holofoil,,0.49,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693495,Goodra,Goodra,068/086,Rare,Dragon,,,Reverse Holofoil,,0.99,1.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693552,Tauros - 069/086,Tauros 069 086,069/086,Uncommon,Colorless,,,Normal,0.74,0.74,0.74,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693552,Tauros - 069/086,Tauros 069 086,069/086,Uncommon,Colorless,,,Reverse Holofoil,,0.5,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693529,Patrat,Patrat,070/086,Common,Colorless,,,Normal,,1.5,2.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693529,Patrat,Patrat,070/086,Common,Colorless,,,Reverse Holofoil,,0.99,1.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693559,Watchog - 071/086,Watchog 071 086,071/086,Common,Colorless,,,Normal,,0.5,0.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693559,Watchog - 071/086,Watchog 071 086,071/086,Common,Colorless,,,Reverse Holofoil,,0.5,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693525,Minccino,Minccino,072/086,Common,Colorless,,,Normal,,0.74,0.74,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693525,Minccino,Minccino,072/086,Common,Colorless,,,Reverse Holofoil,,0.99,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693463,Cinccino ex - 073/086,Cinccino ex 073 086,073/086,Double Rare,Colorless,,,Holofoil,12.0,4.99,8.9,13.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693444,Adversity Policy,Adversity Policy,074/086,Uncommon,Trainer - Pokemon Tool,,,Normal,,0.5,0.85,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693444,Adversity Policy,Adversity Policy,074/086,Uncommon,Trainer - Pokemon Tool,,,Reverse Holofoil,,0.98,0.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693447,Ange Floette,Ange Floette,075/086,Uncommon,Trainer - Stadium,,,Normal,,0.4,0.75,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693447,Ange Floette,Ange Floette,075/086,Uncommon,Trainer - Stadium,,,Reverse Holofoil,,0.74,1.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693449,AZ's Tranquility - 076/086,AZs Tranquility 076 086,076/086,Uncommon,Trainer - Supporter,,,Normal,1.0,1.0,2.0,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693449,AZ's Tranquility - 076/086,AZs Tranquility 076 086,076/086,Uncommon,Trainer - Supporter,,,Reverse Holofoil,0.99,0.99,1.0,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693479,Emma - 077/086,Emma 077 086,077/086,Uncommon,Trainer - Supporter,,,Normal,,1.0,1.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693479,Emma - 077/086,Emma 077 086,077/086,Uncommon,Trainer - Supporter,,,Reverse Holofoil,0.5,0.5,2.0,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693499,Great Haul Net,Great Haul Net,078/086,Uncommon,Trainer - Item,,,Normal,,1.0,1.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693499,Great Haul Net,Great Haul Net,078/086,Uncommon,Trainer - Item,,,Reverse Holofoil,,1.5,1.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693532,Philippe - 079/086,Philippe 079 086,079/086,Uncommon,Trainer - Supporter,,,Normal,1.0,0.5,1.5,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693532,Philippe - 079/086,Philippe 079 086,079/086,Uncommon,Trainer - Supporter,,,Reverse Holofoil,,2.0,2.25,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693534,Prism Tower - 080/086,Prism Tower 080 086,080/086,Uncommon,Trainer - Stadium,,,Normal,1.06,0.5,1.5,1.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693534,Prism Tower - 080/086,Prism Tower 080 086,080/086,Uncommon,Trainer - Stadium,,,Reverse Holofoil,,2.0,2.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693540,Roxie's Performance - 081/086,Roxies Performance 081 086,081/086,Uncommon,Trainer - Supporter,,,Normal,,1.5,2.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693540,Roxie's Performance - 081/086,Roxies Performance 081 086,081/086,Uncommon,Trainer - Supporter,,,Reverse Holofoil,,2.0,2.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693547,Special Red Card - 082/086,Special Red Card 082 086,082/086,Uncommon,Trainer - Item,,,Normal,5.43,4.5,5.9,6.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693547,Special Red Card - 082/086,Special Red Card 082 086,082/086,Uncommon,Trainer - Item,,,Reverse Holofoil,7.0,6.99,7.0,8.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693555,Transformation Tome,Transformation Tome,083/086,Uncommon,Trainer - Item,,,Normal,,2.0,2.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693555,Transformation Tome,Transformation Tome,083/086,Uncommon,Trainer - Item,,,Reverse Holofoil,,1.0,3.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693458,Bubbly Water Energy,Bubbly Water Energy,084/086,Rare,Special Water Energy,,,Holofoil,0.5,0.49,0.9,1.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693458,Bubbly Water Energy,Bubbly Water Energy,084/086,Rare,Special Water Energy,,,Reverse Holofoil,,0.99,1.5,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693506,Magnetic Metal Energy,Magnetic Metal Energy,085/086,Rare,Special Metal Energy,,,Holofoil,3.0,1.99,2.88,3.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693506,Magnetic Metal Energy,Magnetic Metal Energy,085/086,Rare,Special Metal Energy,,,Reverse Holofoil,,3.0,4.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693527,Nitro Fire Energy,Nitro Fire Energy,086/086,Rare,Special Fire Energy,,,Holofoil,2.0,0.99,1.75,2.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693527,Nitro Fire Energy,Nitro Fire Energy,086/086,Rare,Special Fire Energy,,,Reverse Holofoil,,2.0,2.0,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693462,Chespin - 087/086,Chespin 087 086,087/086,Illustration Rare,Grass,,,Holofoil,15.0,15.0,15.0,16.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693489,Froakie - 088/086,Froakie 088 086,088/086,Illustration Rare,Water,,,Holofoil,54.19,50.0,53.39,60.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693491,Frogadier - 089/086,Frogadier 089 086,089/086,Illustration Rare,Water,,,Holofoil,37.5,33.65,34.99,41.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693446,Ampharos - 090/086,Ampharos 090 086,090/086,Illustration Rare,Lightning,,,Holofoil,35.5,38.96,40.0,39.5
Mega Evolution,ME04: Chaos Rising,CRI,24655,693564,Xerneas - 091/086,Xerneas 091 086,091/086,Illustration Rare,Psychic,,,Holofoil,24.45,24.83,24.83,27.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693467,Claydol - 092/086,Claydol 092 086,092/086,Illustration Rare,Fighting,,,Holofoil,19.99,13.98,16.97,22.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693471,Crobat - 093/086,Crobat 093 086,093/086,Illustration Rare,Darkness,,,Holofoil,19.97,18.98,19.48,22.0
Mega Evolution,ME04: Chaos Rising,CRI,24655,693524,Metang - 094/086,Metang 094 086,094/086,Illustration Rare,Metal,,,Holofoil,,19.96,19.99,
Mega Evolution,ME04: Chaos Rising,CRI,24655,693546,Sliggoo - 095/086,Sliggoo 095 086,095/086,Illustration Rare,Dragon,,,Holofoil,10.59,9.97,11.95,12.0
