id,set,card_number,variant,name,price_zar
30483,G1,36,1E,Blaine's Kangaskhan (1st Edition),
30484,G1,36,N,Blaine's Kangaskhan (Normal),
30485,G1,37,1E,Blaine's Magmar (1st Edition),
30486,G1,37,N,Blaine's Magmar (Normal),
30489,G1,39,1E,Brock's Golbat (1st Edition),
30490,G1,39,N,Brock's Golbat (Normal),
30491,G1,40,1E,Brock's Graveler (1st Edition),
30492,G1,40,N,Brock's Graveler (Normal),
30493,G1,41,1E,Brock's Lickitung (1st Edition),
30494,G1,41,N,Brock's Lickitung (Normal),
30495,G1,42,1E,Erika's Dratini (1st Edition),
30496,G1,42,N,Erika's Dratini (Normal),
30499,G1,44,1E,Erika's Exeggutor (1st Edition),
30500,G1,44,N,Erika's Exeggutor (Normal),
30513,G1,51,1E,Lt. Surge's Raticate (1st Edition),
30514,G1,51,N,Lt. Surge's Raticate (Normal),
30517,G1,53,1E,Misty's Poliwhirl (1st Edition),
30518,G1,53,N,Misty's Poliwhirl (Normal),
30519,G1,54,1E,Misty's Psyduck (1st Edition),
30520,G1,54,N,Misty's Psyduck (Normal),
30521,G1,55,1E,Misty's Seaking (1st Edition),
30522,G1,55,N,Misty's Seaking (Normal),
30523,G1,56,1E,Misty's Starmie (1st Edition),
30524,G1,56,N,Misty's Starmie (Normal),
30527,G1,58,1E,Sabrina's Haunter (1st Edition),
30528,G1,58,N,Sabrina's Haunter (Normal),
30529,G1,59,1E,Sabrina's Jynx (1st Edition),
30530,G1,59,N,Sabrina's Jynx (Normal),
30531,G1,60,1E,Sabrina's Slowbro (1st Edition),
30532,G1,60,N,Sabrina's Slowbro (Normal),
30533,G1,61,1E,Blaine's Charmander (1st Edition),
30534,G1,61,N,Blaine's Charmander (Normal),
30537,G1,63,1E,Blaine's Ponyta (1st Edition),
30538,G1,63,N,Blaine's Ponyta (Normal),
30539,G1,64,1E,Blaine's Tauros (1st Edition),
30540,G1,64,N,Blaine's Tauros (Normal),
30541,G1,65,1E,Blaine's Vulpix (1st Edition),
30542,G1,65,N,Blaine's Vulpix (Normal),
30557,G1,73,1E,Brock's Vulpix (1st Edition),
30558,G1,73,N,Brock's Vulpix (Normal),
30569,G1,79,1E,Erika's Tangela (1st Edition),
30570,G1,79,N,Erika's Tangela (Normal),
30573,G1,81,1E,Lt. Surge's Pikachu (1st Edition),
30574,G1,81,N,Lt. Surge's Pikachu (Normal),
30575,G1,82,1E,Lt. Surge's Rattata (1st Edition),
30576,G1,82,N,Lt. Surge's Rattata (Normal),
30579,G1,84,1E,Lt. Surge's Voltorb (1st Edition),
30580,G1,84,N,Lt. Surge's Voltorb (Normal),
30583,G1,86,1E,Misty's Horsea (1st Edition),
30584,G1,86,N,Misty's Horsea (Normal),
30585,G1,87,1E,Misty's Poliwag (1st Edition),
30586,G1,87,N,Misty's Poliwag (Normal),
30587,G1,88,1E,Misty's Seel (1st Edition),
30588,G1,88,N,Misty's Seel (Normal),
30589,G1,89,1E,Misty's Shellder (1st Edition),
30590,G1,89,N,Misty's Shellder (Normal),
30591,G1,90,1E,Misty's Staryu (1st Edition),
30592,G1,90,N,Misty's Staryu (Normal),
30593,G1,91,1E,Sabrina's Abra (1st Edition),
30594,G1,91,N,Sabrina's Abra (Normal),
30595,G1,92,1E,Sabrina's Drowzee (1st Edition),
30596,G1,92,N,Sabrina's Drowzee (Normal),
30597,G1,93,1E,Sabrina's Gastly (1st Edition),
30598,G1,93,N,Sabrina's Gastly (Normal),
30599,G1,94,1E,Sabrina's Mr. Mime (1st Edition),
30600,G1,94,N,Sabrina's Mr. Mime (Normal),
30601,G1,95,1E,Sabrina's Slowpoke (1st Edition),
30602,G1,95,N,Sabrina's Slowpoke (Normal),
30603,G1,96,1E,Sabrina's Venonat (1st Edition),
30604,G1,96,N,Sabrina's Venonat (Normal),
30605,G1,97,1E,Blaine's Quiz #1 (1st Edition),
30606,G1,97,N,Blaine's Quiz #1 (Normal),
30609,G1,99,1E,Charity (1st Edition),
30610,G1,99,N,Charity (Normal),
30617,G1,103,1E,No Removal Gym (1st Edition),
30618,G1,103,N,No Removal Gym (Normal),
30619,G1,104,1E,The Rocket's Training Gym (1st Edition),
30620,G1,104,N,The Rocket's Training Gym (Normal),
30621,G1,105,1E,Blaine's Last Resort (1st Edition),
30622,G1,105,N,Blaine's Last Resort (Normal),
30623,G1,106,1E,Brock's Training Method (1st Edition),
30624,G1,106,N,Brock's Training Method (Normal),
30625,G1,107,1E,Celadon City Gym (1st Edition),
30626,G1,107,N,Celadon City Gym (Normal),
30627,G1,108,1E,Cerulean City Gym (1st Edition),
30628,G1,108,N,Cerulean City Gym (Normal),
30629,G1,109,1E,Erika's Maids (1st Edition),
30630,G1,109,N,Erika's Maids (Normal),
30631,G1,110,1E,Erika's Perfume (1st Edition),
30632,G1,110,N,Erika's Perfume (Normal),
30633,G1,111,1E,Good Manners (1st Edition),
30634,G1,111,N,Good Manners (Normal),
30635,G1,112,1E,Lt. Surge's Treaty (1st Edition),
30636,G1,112,N,Lt. Surge's Treaty (Normal),
30637,G1,113,1E,Minion of Team Rocket (1st Edition),
30638,G1,113,N,Minion of Team Rocket (Normal),
30639,G1,114,1E,Misty's Wrath (1st Edition),
30640,G1,114,N,Misty's Wrath (Normal),
30641,G1,115,1E,Pewter City Gym (1st Edition),
30642,G1,115,N,Pewter City Gym (Normal),
30643,G1,116,1E,Recall (1st Edition),
30644,G1,116,N,Recall (Normal),
30645,G1,117,1E,Sabrina's ESP (1st Edition),
30646,G1,117,N,Sabrina's ESP (Normal),
30647,G1,118,1E,Secret Mission (1st Edition),
30648,G1,118,N,Secret Mission (Normal),
30649,G1,119,1E,Tickling Machine (1st Edition),
30650,G1,119,N,Tickling Machine (Normal),
30651,G1,120,1E,Vermilion City Gym (1st Edition),
30652,G1,120,N,Vermilion City Gym (Normal),
30653,G1,121,1E,Blaine's Gamble (1st Edition),
30654,G1,121,N,Blaine's Gamble (Normal),
30655,G1,122,1E,Energy Flow (1st Edition),
30656,G1,122,N,Energy Flow (Normal),
30657,G1,123,1E,Misty's Duel (1st Edition),
30658,G1,123,N,Misty's Duel (Normal),
30659,G1,124,1E,Narrow Gym (1st Edition),
30660,G1,124,N,Narrow Gym (Normal),
30661,G1,125,1E,Sabrina's Gaze (1st Edition),
30662,G1,125,N,Sabrina's Gaze (Normal),
30663,G1,126,1E,Trash Exchange (1st Edition),
30664,G1,126,N,Trash Exchange (Normal),
30665,G1,127,1E,Fighting Energy (1st Edition),
30666,G1,127,N,Fighting Energy (Normal),
30667,G1,128,1E,Fire Energy (1st Edition),
30668,G1,128,N,Fire Energy (Normal),
30669,G1,129,1E,Grass Energy (1st Edition),
30670,G1,129,N,Grass Energy (Normal),
30671,G1,130,1E,Lightning Energy (1st Edition),
30672,G1,130,N,Lightning Energy (Normal),
30673,G1,131,1E,Psychic Energy (1st Edition),
30674,G1,131,N,Psychic Energy (Normal),
30675,G1,132,1E,Water Energy (1st Edition),
30676,G1,132,N,Water Energy (Normal),
30717,G2,21,1E,Blaine's Ninetales (1st Edition),
30718,G2,21,N,Blaine's Ninetales (Normal),
30719,G2,22,1E,Brock's Dugtrio (1st Edition),
30720,G2,22,N,Brock's Dugtrio (Normal),
30721,G2,23,1E,Giovanni's Nidoqueen (1st Edition),
30722,G2,23,N,Giovanni's Nidoqueen (Normal),
30723,G2,24,1E,Giovanni's Pinsir (1st Edition),
30724,G2,24,N,Giovanni's Pinsir (Normal),
30725,G2,25,1E,Koga's Arbok (1st Edition),
30726,G2,25,N,Koga's Arbok (Normal),
30727,G2,26,1E,Koga's Muk (1st Edition),
30728,G2,26,N,Koga's Muk (Normal),
30729,G2,27,1E,Koga's Pidgeotto (1st Edition),
30730,G2,27,N,Koga's Pidgeotto (Normal),
30731,G2,28,1E,Lt. Surge's Jolteon (1st Edition),
30732,G2,28,N,Lt. Surge's Jolteon (Normal),
30733,G2,29,1E,Sabrina's Gengar (1st Edition),
30734,G2,29,N,Sabrina's Gengar (Normal),
30735,G2,30,1E,Sabrina's Golduck (1st Edition),
30736,G2,30,N,Sabrina's Golduck (Normal),
30737,G2,31,1E,Blaine's Charmeleon (1st Edition),
30738,G2,31,N,Blaine's Charmeleon (Normal),
30739,G2,32,1E,Blaine's Dodrio (1st Edition),
30740,G2,32,N,Blaine's Dodrio (Normal),
30741,G2,33,1E,Blaine's Rapidash (1st Edition),
30742,G2,33,N,Blaine's Rapidash (Normal),
30743,G2,34,1E,Brock's Graveler (1st Edition),
30744,G2,34,N,Brock's Graveler (Normal),
30745,G2,35,1E,Brock's Primeape (1st Edition),
30746,G2,35,N,Brock's Primeape (Normal),
30747,G2,36,1E,Brock's Sandslash (1st Edition),
30748,G2,36,N,Brock's Sandslash (Normal),
30749,G2,37,1E,Brock's Vulpix (1st Edition),
30750,G2,37,N,Brock's Vulpix (Normal),
30751,G2,38,1E,Erika's Bellsprout (1st Edition),
30752,G2,38,N,Erika's Bellsprout (Normal),
30753,G2,39,1E,Erika's Bulbasaur (1st Edition),
30754,G2,39,N,Erika's Bulbasaur (Normal),
30755,G2,40,1E,Erika's Clefairy (1st Edition),
30756,G2,40,N,Erika's Clefairy (Normal),
30757,G2,41,1E,Erika's Ivysaur (1st Edition),
30758,G2,41,N,Erika's Ivysaur (Normal),
30759,G2,42,1E,Giovanni's Machoke (1st Edition),
30760,G2,42,N,Giovanni's Machoke (Normal),
30763,G2,44,1E,Giovanni's Nidorina (1st Edition),
30764,G2,44,N,Giovanni's Nidorina (Normal),
30765,G2,45,1E,Giovanni's Nidorino (1st Edition),
30766,G2,45,N,Giovanni's Nidorino (Normal),
30767,G2,46,1E,Koga's Golbat (1st Edition),
30768,G2,46,N,Koga's Golbat (Normal),
30769,G2,47,1E,Koga's Kakuna (1st Edition),
30770,G2,47,N,Koga's Kakuna (Normal),
30775,G2,50,1E,Koga's Weezing (1st Edition),
30776,G2,50,N,Koga's Weezing (Normal),
30777,G2,51,1E,Lt. Surge's Eevee (1st Edition),
30778,G2,51,N,Lt. Surge's Eevee (Normal),
30779,G2,52,1E,Lt. Surge's Electrode (1st Edition),
30780,G2,52,N,Lt. Surge's Electrode (Normal),
30781,G2,53,1E,Lt. Surge's Raticate (1st Edition),
30782,G2,53,N,Lt. Surge's Raticate (Normal),
30783,G2,54,1E,Misty's Dewgong (1st Edition),
30784,G2,54,N,Misty's Dewgong (Normal),
30785,G2,55,1E,Sabrina's Haunter (1st Edition),
30786,G2,55,N,Sabrina's Haunter (Normal),
30787,G2,56,1E,Sabrina's Hypno (1st Edition),
30788,G2,56,N,Sabrina's Hypno (Normal),
30789,G2,57,1E,Sabrina's Jynx (1st Edition),
30790,G2,57,N,Sabrina's Jynx (Normal),
30791,G2,58,1E,Sabrina's Kadabra (1st Edition),
30792,G2,58,N,Sabrina's Kadabra (Normal),
30793,G2,59,1E,Sabrina's Mr. Mime (1st Edition),
30794,G2,59,N,Sabrina's Mr. Mime (Normal),
30795,G2,60,1E,Blaine's Charmander (1st Edition),
30796,G2,60,N,Blaine's Charmander (Normal),
30797,G2,61,1E,Blaine's Doduo (1st Edition),
30798,G2,61,N,Blaine's Doduo (Normal),
30799,G2,62,1E,Blaine's Growlithe (1st Edition),
30800,G2,62,N,Blaine's Growlithe (Normal),
30801,G2,63,1E,Blaine's Mankey (1st Edition),
30802,G2,63,N,Blaine's Mankey (Normal),
30803,G2,64,1E,Blaine's Ponyta (1st Edition),
30804,G2,64,N,Blaine's Ponyta (Normal),
30805,G2,65,1E,Blaine's Rhyhorn (1st Edition),
30806,G2,65,N,Blaine's Rhyhorn (Normal),
30807,G2,66,1E,Blaine's Vulpix (1st Edition),
30808,G2,66,N,Blaine's Vulpix (Normal),
30809,G2,67,1E,Brock's Diglett (1st Edition),
30810,G2,67,N,Brock's Diglett (Normal),
30811,G2,68,1E,Brock's Geodude (1st Edition),
30812,G2,68,N,Brock's Geodude (Normal),
30813,G2,69,1E,Erika's Jigglypuff (1st Edition),
30814,G2,69,N,Erika's Jigglypuff (Normal),
30815,G2,70,1E,Erika's Oddish (1st Edition),
30816,G2,70,N,Erika's Oddish (Normal),
30817,G2,71,1E,Erika's Paras (1st Edition),
30818,G2,71,N,Erika's Paras (Normal),
30819,G2,72,1E,Giovanni's Machop (1st Edition),
30820,G2,72,N,Giovanni's Machop (Normal),
30821,G2,73,1E,Giovanni's Magikarp (1st Edition),
30822,G2,73,N,Giovanni's Magikarp (Normal),
30829,G2,77,1E,Koga's Ekans (1st Edition),
30830,G2,77,N,Koga's Ekans (Normal),
30831,G2,78,1E,Koga's Grimer (1st Edition),
30832,G2,78,N,Koga's Grimer (Normal),
30837,G2,81,1E,Koga's Tangela (1st Edition),
30838,G2,81,N,Koga's Tangela (Normal),
30839,G2,82,1E,Koga's Weedle (1st Edition),
30840,G2,82,N,Koga's Weedle (Normal),
30841,G2,83,1E,Koga's Zubat (1st Edition),
30842,G2,83,N,Koga's Zubat (Normal),
30843,G2,84,1E,Lt. Surge's Pikachu (1st Edition),
30844,G2,84,N,Lt. Surge's Pikachu (Normal),
30845,G2,85,1E,Lt. Surge's Rattata (1st Edition),
30846,G2,85,N,Lt. Surge's Rattata (Normal),
30847,G2,86,1E,Lt. Surge's Voltorb (1st Edition),
30848,G2,86,N,Lt. Surge's Voltorb (Normal),
30849,G2,87,1E,Misty's Horsea (1st Edition),
30850,G2,87,N,Misty's Horsea (Normal),
30851,G2,88,1E,Misty's Magikarp (1st Edition),
30852,G2,88,N,Misty's Magikarp (Normal),
30853,G2,89,1E,Misty's Poliwag (1st Edition),
30854,G2,89,N,Misty's Poliwag (Normal),
30855,G2,90,1E,Misty's Psyduck (1st Edition),
30856,G2,90,N,Misty's Psyduck (Normal),
30857,G2,91,1E,Misty's Seel (1st Edition),
30858,G2,91,N,Misty's Seel (Normal),
30859,G2,92,1E,Misty's Staryu (1st Edition),
30860,G2,92,N,Misty's Staryu (Normal),
30865,G2,95,1E,Sabrina's Drowzee (1st Edition),
30866,G2,95,N,Sabrina's Drowzee (Normal),
30871,G2,98,1E,Sabrina's Porygon (1st Edition),
30872,G2,98,N,Sabrina's Porygon (Normal),
30873,G2,99,1E,Sabrina's Psyduck (1st Edition),
30874,G2,99,N,Sabrina's Psyduck (Normal),
30877,G2,101,1E,Brock's Protection (1st Edition),
30878,G2,101,N,Brock's Protection (Normal),
30879,G2,102,1E,Chaos Gym (1st Edition),
30880,G2,102,N,Chaos Gym (Normal),
30881,G2,103,1E,Erika's Kindness (1st Edition),
30882,G2,103,N,Erika's Kindness (Normal),
30885,G2,105,1E,Giovanni's Last Resort (1st Edition),
30886,G2,105,N,Giovanni's Last Resort (Normal),
30889,G2,107,1E,Lt. Surge's Secret Plan (1st Edition),
30890,G2,107,N,Lt. Surge's Secret Plan (Normal),
30891,G2,108,1E,Misty's Wish (1st Edition),
30892,G2,108,N,Misty's Wish (Normal),
30893,G2,109,1E,Resistance Gym (1st Edition),
30894,G2,109,N,Resistance Gym (Normal),
30897,G2,111,1E,Blaine's Quiz #2 (1st Edition),
30898,G2,111,N,Blaine's Quiz #2 (Normal),
30899,G2,112,1E,Blaine's Quiz #3 (1st Edition),
30900,G2,112,N,Blaine's Quiz #3 (Normal),
30901,G2,113,1E,Cinnabar City Gym (1st Edition),
30902,G2,113,N,Cinnabar City Gym (Normal),
30903,G2,114,1E,Fuchsia City Gym (1st Edition),
30904,G2,114,N,Fuchsia City Gym (Normal),
30905,G2,115,1E,Koga's Ninja Trick (1st Edition),
30906,G2,115,N,Koga's Ninja Trick (Normal),
30907,G2,116,1E,Master Ball (1st Edition),
30908,G2,116,N,Master Ball (Normal),
30909,G2,117,1E,Max Revive (1st Edition),
30910,G2,117,N,Max Revive (Normal),
30911,G2,118,1E,Misty's Tears (1st Edition),
30912,G2,118,N,Misty's Tears (Normal),
30913,G2,119,1E,Rocket's Minefield Gym (1st Edition),
30914,G2,119,N,Rocket's Minefield Gym (Normal),
30915,G2,120,1E,Rocket's Secret Experiment (1st Edition),
30916,G2,120,N,Rocket's Secret Experiment (Normal),
30917,G2,121,1E,Sabrina's Psychic Control (1st Edition),
30918,G2,121,N,Sabrina's Psychic Control (Normal),
30919,G2,122,1E,Saffron City Gym (1st Edition),
30920,G2,122,N,Saffron City Gym (Normal),
30921,G2,123,1E,Viridian City Gym (1st Edition),
30922,G2,123,N,Viridian City Gym (Normal),
30923,G2,124,1E,Fervor (1st Edition),
30924,G2,124,N,Fervor (Normal),
30925,G2,125,1E,Transparent Walls (1st Edition),
30926,G2,125,N,Transparent Walls (Normal),
30927,G2,126,1E,Warp Point (1st Edition),
30928,G2,126,N,Warp Point (Normal),
30929,G2,127,1E,Fighting Energy (1st Edition),
30930,G2,127,N,Fighting Energy (Normal),
30931,G2,128,1E,Fire Energy (1st Edition),
30932,G2,128,N,Fire Energy (Normal),
30933,G2,129,1E,Grass Energy (1st Edition),
30934,G2,129,N,Grass Energy (Normal),
30935,G2,130,1E,Lightning Energy (1st Edition),
30936,G2,130,N,Lightning Energy (Normal),
30937,G2,131,1E,Psychic Energy (1st Edition),
30938,G2,131,N,Psychic Energy (Normal),
30939,G2,132,1E,Water Energy (1st Edition),
30940,G2,132,N,Water Energy (Normal),
60740,LM,92,GS,Registeel ★,
37942,LTR,1,N,Snivy (Normal),
37943,LTR,1,RH,Snivy (Reverse Holo),
37944,LTR,2,N,Servine (Normal),
37945,LTR,2,RH,Servine (Reverse Holo),
37946,LTR,3,N,Serperior (Normal),
37947,LTR,3,RH,Serperior (Reverse Holo),
37948,LTR,4,N,Growlithe (Normal),
37949,LTR,4,RH,Growlithe (Reverse Holo),
37950,LTR,5,N,Torchic (Normal),
37951,LTR,5,RH,Torchic (Reverse Holo),
37952,LTR,6,N,Piplup (Normal),
37953,LTR,6,RH,Piplup (Reverse Holo),
37954,LTR,7,N,Pikachu (Normal),
37955,LTR,7,RH,Pikachu (Reverse Holo),
37956,LTR,8,N,Ralts (Normal),
37957,LTR,8,RH,Ralts (Reverse Holo),
37962,LTR,11,N,Meloetta-EX (Normal),
37963,LTR,11,RH,Meloetta-EX (Reverse Holo),
37964,LTR,12,N,Stunfisk (Normal),
37965,LTR,12,RH,Stunfisk (Reverse Holo),
37966,LTR,13,N,Purrloin (Normal),
37967,LTR,13,RH,Purrloin (Reverse Holo),
37968,LTR,14,N,Eevee (Normal),
37969,LTR,14,RH,Eevee (Reverse Holo),
37970,LTR,15,N,Teddiursa (Normal),
37971,LTR,15,RH,Teddiursa (Reverse Holo),
37972,LTR,16,N,Ursaring (Normal),
37973,LTR,16,RH,Ursaring (Reverse Holo),
37974,LTR,17,N,Audino (Normal),
37975,LTR,17,RH,Audino (Reverse Holo),
37976,LTR,18,N,Minccino (Normal),
37977,LTR,18,RH,Minccino (Reverse Holo),
37978,LTR,19,N,Cinccino (Normal),
37979,LTR,19,RH,Cinccino (Reverse Holo),
37980,LTR,20,N,Elesa (Normal),
37981,LTR,20,RH,Elesa (Reverse Holo),
31468,N4,17,1E,Dark Ariados (1st Edition),
31469,N4,17,N,Dark Ariados (Normal),
31470,N4,18,1E,Dark Magcargo (1st Edition),
31471,N4,18,N,Dark Magcargo (Normal),
31472,N4,19,1E,Dark Omastar (1st Edition),
31473,N4,19,N,Dark Omastar (Normal),
31474,N4,20,1E,Dark Slowking (1st Edition),
31475,N4,20,N,Dark Slowking (Normal),
31476,N4,21,1E,Dark Ursaring (1st Edition),
31477,N4,21,N,Dark Ursaring (Normal),
31478,N4,22,1E,Light Dragonair (1st Edition),
31479,N4,22,N,Light Dragonair (Normal),
31480,N4,23,1E,Light Lanturn (1st Edition),
31481,N4,23,N,Light Lanturn (Normal),
31482,N4,24,1E,Light Ledian (1st Edition),
31483,N4,24,N,Light Ledian (Normal),
31484,N4,25,1E,Light Machamp (1st Edition),
31485,N4,25,N,Light Machamp (Normal),
31486,N4,26,1E,Light Piloswine (1st Edition),
31487,N4,26,N,Light Piloswine (Normal),
31488,N4,27,1E,Unown [G] (1st Edition),
31489,N4,27,N,Unown [G] (Normal),
31490,N4,28,1E,Unown [H] (1st Edition),
31491,N4,28,N,Unown [H] (Normal),
31492,N4,29,1E,Unown [W] (1st Edition),
31493,N4,29,N,Unown [W] (Normal),
31494,N4,30,1E,Unown [X] (1st Edition),
31495,N4,30,N,Unown [X] (Normal),
31496,N4,31,1E,Chansey (1st Edition),
31497,N4,31,N,Chansey (Normal),
31498,N4,32,1E,Dark Croconaw (1st Edition),
31499,N4,32,N,Dark Croconaw (Normal),
31502,N4,34,1E,Dark Flaaffy (1st Edition),
31503,N4,34,N,Dark Flaaffy (Normal),
31504,N4,35,1E,Dark Forretress (1st Edition),
31505,N4,35,N,Dark Forretress (Normal),
31506,N4,36,1E,Dark Haunter (1st Edition),
31507,N4,36,N,Dark Haunter (Normal),
31508,N4,37,1E,Dark Omanyte (1st Edition),
31509,N4,37,N,Dark Omanyte (Normal),
31510,N4,38,1E,Dark Pupitar (1st Edition),
31511,N4,38,N,Dark Pupitar (Normal),
31512,N4,39,1E,Dark Quilava (1st Edition),
31513,N4,39,N,Dark Quilava (Normal),
31514,N4,40,1E,Dark Wigglytuff (1st Edition),
31515,N4,40,N,Dark Wigglytuff (Normal),
31516,N4,41,1E,Heracross (1st Edition),
31517,N4,41,N,Heracross (Normal),
31518,N4,42,1E,Hitmonlee (1st Edition),
31519,N4,42,N,Hitmonlee (Normal),
31520,N4,43,1E,Houndour (1st Edition),
31521,N4,43,N,Houndour (Normal),
31522,N4,44,1E,Jigglypuff (1st Edition),
31523,N4,44,N,Jigglypuff (Normal),
31524,N4,45,1E,Light Dewgong (1st Edition),
31525,N4,45,N,Light Dewgong (Normal),
31526,N4,46,1E,Light Flareon (1st Edition),
31527,N4,46,N,Light Flareon (Normal),
31528,N4,47,1E,Light Golduck (1st Edition),
31529,N4,47,N,Light Golduck (Normal),
31530,N4,48,1E,Light Jolteon (1st Edition),
31531,N4,48,N,Light Jolteon (Normal),
31532,N4,49,1E,Light Machoke (1st Edition),
31533,N4,49,N,Light Machoke (Normal),
31534,N4,50,1E,Light Ninetales (1st Edition),
31535,N4,50,N,Light Ninetales (Normal),
31536,N4,51,1E,Light Slowbro (1st Edition),
31537,N4,51,N,Light Slowbro (Normal),
31538,N4,52,1E,Light Vaporeon (1st Edition),
31539,N4,52,N,Light Vaporeon (Normal),
31540,N4,53,1E,Light Venomoth (1st Edition),
31541,N4,53,N,Light Venomoth (Normal),
31542,N4,54,1E,Light Wigglytuff (1st Edition),
31543,N4,54,N,Light Wigglytuff (Normal),
31544,N4,55,1E,Scyther (1st Edition),
31545,N4,55,N,Scyther (Normal),
31546,N4,56,1E,Togepi (1st Edition),
31547,N4,56,N,Togepi (Normal),
31548,N4,57,1E,Unown [C] (1st Edition),
